Date Posted,Media Type,Post Text,Post Likes,Post Comments,Video Views,Media Links
7 months ago,"Other: Poll, Shared Post, etc","The Civil Engineering Conclave'2022 on Bridge Engineering was organised by the KPR Institute of Engineering and Technology on 14.03.2022. Dr. V. K. Raina, AICTE Distinguished Professor, was the keynote speaker at the Bridge Engineering Conclave. He informed about the global evolution of bridge design over the last 35 centuries.Mr. M. Suyambulingam - RTD chief Bridge Engineer gave a talk about retrofitting bridges to handle more axial loads and greater speeds. Mr. V. Kasiraja - General Manager & Head Special projects, L&T Construction, Chennai spoke on the topic of the constructability of various types of bridges. The day provided the participants with a wealth of information on the subject, which will be able to use in the following years.#civilengineering #technology #engineering #design #construction #engineer #projects #conclave #bridge #engineering #kpriet #coimbatore #tamilnadu



…see more",136,136,3 reposts,None
8 months ago,"Other: Poll, Shared Post, etc","Odissi is a dance form from the state of Odisha in eastern India. It is recognized as one of the eight classical dance forms of India, and celebrated around the world for its lyricism, sensuality and emphasis on bhakti bhava.Here are the glimpses of Odissi Dance organized by Kurinji Tamil Sangam, KPR Institutions on 28.02.2022#dance #odissi #kpriet #tamilsangam #india



…see more",100,100,5 reposts,None
11 months ago,"Other: Poll, Shared Post, etc","KPR Institute of Engineering and Technology invites applications from interested Retired / Serving Faculty members / Other in Professionals as indicated from reputed foreign University and Indian institutions (Institute of National Importance) for various positions such as Adjunct Faculty, Professor Emeritus, and Visiting Faculty, for various Departments of Institute.Adjunct Faculty / Professor Emeritus / Visiting Faculty:Reputed scientists, engineers, Academic personnel from Universities, Institutes, R&D labs, Industry, or Government in India or abroad, including those on sabbatical leave from other institutions or retired may apply.Interested persons may apply for the above positions on or before 15.12.2021. The CV may be sent to career@kpriet.ac.in#jobalert #kpriet #career #lifeatkpriet#india #engineering #technology #cv #university #engineers #visitingfaculty#professor #recruitments



…see more",20,20,7 reposts,None
8 months ago,"Other: Poll, Shared Post, etc","வெய்யில் வேளைகளில் கரியமில வாயுவை சுவாசித்து பிராண வாயுவை வெளிப்படுத்துகின்றன மரங்கள். அவ்வகையில் மனித உயிர் வாழ்க்கைக்கு இன்றியமையாத பணியைச் செய்கின்றன அவை. மழை இல்லாவிட்டால் வாழ்வேது? மரங்களை அதிகம் வளர்ப்பதன் மூலமே மழையைப் பொழியச் செய்ய முடியும் என்கிறது இயற்கை விஞ்ஞானம். அதனை கருத்தில் கொண்டு பசுமை பேணவேண்டும் என்ற ஒருமித்த கருத்துடன் கோயம்புத்தூர் கேபிஆர் குழுமங்கள், ரோட்டரி கோயம்புத்தூர் சென்ட்ரல், அரசூர் ஊராட்சி மன்றம் மற்றும் வனம் இந்தியா பவுண்டேஷன் இணைந்து நடத்திய மரக்கன்று நடும் துவக்க விழா ""பசுமை பேணுவோம்"" என்ற நோக்கத்தை குறிக்கோளாகக் கொண்டு, 20.02. 2022 ஞாயிற்றுக்கிழமையன்று காலை 10 மணி அளவில், அரசூர் ஊத்துப் பாளையம் பகுதியைச் சேர்ந்த செட்டிகுட்டை என்ற இடத்தில் கேபிஆர் குழுமங்களின் தலைவர், முனைவர் கே. பி. ராமசாமி அவர்கள் தலைமையில் நடைபெற்றது. இந்நிகழ்வில் ரோட்டரி கோயம்புத்தூர் சென்ட்ரல் அமைப்பின் தலைவர் என். சுப்பிரமணியன் அவர்கள் வரவேற்புரை நிகழ்த்தினார். ரோட்டரி சங்கத்தின் மாவட்ட ஆளுநர் திரு. இராஜசேகர் ஸ்ரீநிவாசன் அவர்கள் முன்னிலை வகிக்க, அரசூர் ஊராட்சி மன்றத்தின் தலைவர் முனைவர். ஏ. வி. ஜி. மனோன்மணி அவர்கள் ஏற்புரை நிகழ்த்தினார். அரசூர் ஊராட்சி முன்னாள் தலைவர் முனைவர். ஏ. வி.கோவிந்தராஜ் மற்றும் சூலூர் ஊராட்சி ஒன்றியக் குழு உறுப்பினர் முனைவர். ஏ. வி. ஏ.செல்வநாயகி அன்பரசு அவர்கள், ரோட்டரி கோயம்புத்தூர் சென்ட்ரல் அமைப்பின் செயலாளர், பயூஸ் பட்வா அவர்களும், சமூக சேவை இயக்குனர் சுப்பு பழனியப்பன் அவர்களும் கலந்துகொண்டனர். பசுமை பேணுவோம் என்று மாவட்டம் எங்கும் பசுமை முழக்கத்தோடு செயல்பட்டு வரும் வனம் இந்தியா பவுண்டேஷன் அமைப்பின் செயலாளர் SKY வி. சுந்தர்ராஜ் அவர்கள் பயனுரை நிகழ்த்தி பசுமையான பூமியின் பயன்பாட்டையும் எழிலையும் எடுத்துரைத்தார். இந்நிகழ்ச்சியில் அரசூர் ஊராட்சி மன்றத்தின் துணைத் தலைவர் மற்றும் உறுப்பினர்கள், ஊர் பொதுமக்கள், கேபிஆர் குழும நிறுவனங்கள் மற்றும் கல்வி நிறுவனங்களைச் சேர்ந்த உயர் அதிகாரிகள், முதல்வர்கள் பேராசிரியர்கள்,  மாணவ, மாணவியர்கள் ஆகியோர் கலந்து கொண்டனர். மேலும் ரோட்டரி கோயம்புத்தூர் சென்ட்ரல் அமைப்பின் உறுப்பினர்களும், வனம் இந்தியா பவுண்டேஷன் அமைப்பைச் சார்ந்த உறுப்பினர்களும் கலந்து கொண்டு சிறப்பித்தார்கள்.#KPRGroup #TreePlantation #coimbatore #India #trees #rotary #gogreen #tamilnadu



…see more",186,186,4 comments,None
8 months ago,"Other: Poll, Shared Post, etc","Hearty congratulations to Dr. Venugopal D, Ms. Reethika Anandan, Dr. M. Kalamani, Mr. pradeepkumar gopalakrishnan, Mr. Venkatesh Thamarai Kannan, Ms. Chandraprabha Soundar rajan, Dr. seethalakshmi v and Dr. Kalirajan k for receiving grant-in-aid from various funding agencies for ""National Seminar on Channel Engineering in Indium Phosphide (InP) based HEMT for THz Applications"" by DRDO, six days induction program on ""Cognitive Skills for Active Learners"" by AICTE-ISTE, Webinar on ""Leveraging AI and IoT in Industrial Sector"" by ISTE and ""Upgradation of Optical and Microwave Laboratory"" by AICTE. #congratulations #ai #engineering #webinar #iot #microwave #optical #indium #HEMT #DRDO #ISTE #AICTE #kpriet #industries #funding #research #article #grant



…see more",60,60,4 comments,None
9 months ago,"Other: Poll, Shared Post, etc","Hearty Congratulations to all our budding engineers for their successful placements.We wish you all the best!Also, we would like to thank our prominent recruiters for their time & efforts for providing this opportunity to our students. #students #placements #opportunity #success #like #engineers #recruiters #future 



…see more",56,56,2 comments,None
9 months ago,"Other: Poll, Shared Post, etc","#KPRIET commemorated the 73rd Republic Day today. Dr. M. Akila, Principal, KPRIET addressed the audience after unfurling the national flag. A ceremonial march-past was held, and the finest performers in each contingent were awarded prizes. During the occasion, there were cultural programmes and a spectacular drone show.#kpriet #RepublicDay #tricolour #culturals #india #parade #dance #india



…see more",72,72,5 reposts,None
1 month ago,"Other: Poll, Shared Post, etc","Out of the 2000+ teams who competed in this national event, our team's victory at the prestigious Smart India Hackathon 2022 was undoubtedly a proud moment for KPRIET. In the Senior Hardware Edition of the Smart India Hackathon held at the Amal Jyothi College of Engineering in Koovappally, Kerala, our student team, Mr. M. L. Aakash, Mr. V. Anand Krishna, Mr. M. Akash, Mr. M. Chidhambaram, Mr. G. Chiranjeev, and Ms. M. Gokila, took first place. We are pleased to announce this. The team was guided by the professors of the Department of Chemical Engineering, Dr. S. Karunakaran and Mr. N. Arun Kumar.#team #engineering #india #event #hardware #chemicalengineering #SIH2022 #Hardwareedition #kpriet #winner #coimbatore #tamilnadu #kerala #smartindiahackathon2022



…see more",142,142,3 reposts,None
10 months ago,"Other: Poll, Shared Post, etc","Congratulations Mr. Indharajith P, Mr. Vishnu Prakash R and Mr. Arun Kumar A of Mechanical Engineering Department for getting placed as Trainee - Inside Sales, Zolo, Business Development Associate, BYJU's and Business Development Associate, Extramarks respectively.We wish you all the best in your future endeavours.#placement #kpriet #byjus #Extramarks #zolo #business #careergoals #dreamjob#mechanicalengineering #businessdevelopment #sales #future



…see more",41,41,1 comment,None
10 months ago,"Other: Poll, Shared Post, etc","May all that is beautiful, meaningful, and brings you joy be yours this holiday season and throughout the coming year, wish you a Merry Christmas!Christmas Celebration at KPRIET#merrychristmas #KPRIET #Christmas



…see more",93,93,3 reposts,None
10 months ago,"Other: Poll, Shared Post, etc","“It’s all about the quality of life and finding a happy balance between work and friends and family.” –Philip GreenKPRIET Family Meet 2021Magic Memories#KPRIET #MagicMemories #Familymeet #Familymeet2021



…see more",153,153,7 reposts,None
10 months ago,"Other: Poll, Shared Post, etc","On December 22, 2021, KPRIET's AgniPrava, winners of the Vande Bharatam Nritya Utsav 2021, receive a hero's welcome and are congratulated by our beloved Principal Dr. M. Akila.On behalf of all KPRIETians, let us congratulate our Stars, our winners, for their magnificent performance in the Vande Bharatam Nritya Utsav 2021 Grand Finale (National Level). We are incredibly proud of each and every one of you!#welcomehome #kpriet #Vandebharatam #sangamam #ignitrron #dancelife



…see more",128,128,1 comment,None
10 months ago,"Other: Poll, Shared Post, etc","On December 19, 2021, at the Jawaharlal Nehru Stadium - Auditorium in New Delhi, team Agniprava won the Grand Finale of the Vande Bharatam Nritya Utsav 2021 (National Level). Our crew will take part in the Republic Day Parade, which is a once-in-a-lifetime experience! A total of 949 dancers from four zones performed in the Grand Finale, which included 73 ensembles.The Ministry of Defence and the Ministry of Culture collaborated on Vande Bharatam, a one-of-a-kind effort to commemorate India's 75th anniversary of independence as part of the Azadi Ka Amrit Mahotsav. The primary purpose of this competition is to identify the greatest dancers from around the country and offer them the opportunity to perform in the Republic Day Parade in 2022.Where there is a will, there is a way!Our team made it possible!Proud Moment for KPRIET#kpriet #proudmoment❤️ #RepublicDay #AzadiKaAmritMahotsav #vandebharatam #dancelife #National #delhi #defence #culturals #sangamam #ignitrron #agniprava #opportunity #team #india #culture



…see more",138,138,2 reposts,None
6 months ago,"Other: Poll, Shared Post, etc","Department of EEE inked an MoU with EAZIBIZ TECHNOLOGIES PRIVATE LIMITED, Coimbatore - 641 028. With three decades of business experience, Diversified verticals will be very much useful for the Department of EEE, KPRIET, KPR Institute of Engineering and Technology. Heartfelt Thanks to Managing Director and Project Manager for their wonderful support towards our students' upliftment. Growing old is mandatory: Growing up is Optional, Collaboration and networking are the keys to Improvement.Journey of thousand steps begins with a single step. Students' progress is the Department's pride. Kudos to team EEE.#innovation #skillsforthefuture #mou #esg #electricalengineering



…see more",39,39,N/A,None
1 month ago,"Other: Poll, Shared Post, etc","KPR Institute of Engineering and Technology signed an MoU with AMI India Private Limited on Wednesday 17th August 2022. The host institution joined hands with AMI India Private Limited, a multinational giant, with business interests in computing, manufacturing, and technology with a focus on relevant industry experiences on popular emerging technology. The Institution hosted Ms. Suhasini Ramakrishnan, VP-HR of AMI India Private Limited, and Mr. B Venkatesan, VP-MSG, AMI India Private Limited for the session that followed the signing. 	The MoU was signed between Mr. Arvind Jayabal, Country Head of AMI India Private Limited and Dr. M. Akila, Principal, KPR Institute of Engineering and Technology. Mr. Arvind Jayabal, Country Head of AMI India Private Limited, gave the inaugural address and inspired the students by detailing the extraordinary opportunities for future ready Engineers. He gave a walk through on the prospects of computing technology and computer firmware that demands immediate attention by the students. In her talk, Ms. Suhasini Ramakrishnan, VP-HR of AMI India Private Limited, reinstated the working culture at AMI India Private Limited. Mr. B Venkatesan, VP-MSG, briefed on the business model and the outreach of their technology and presence in the global market. #business #technology #india #hr #engineering #opportunities #future #culture #manufacturing #students #engineers #computing #kpriet #mou #coimbatore #experience #lifeatkpr #lifeatcoimbatore



…see more",110,110,1 repost,None
7 months ago,Video,"ரேக்ளா வண்டிப் பந்தயம் (ரேக்ளா ரேஸ்) என்பது, திருவிழாக் காலங்களில் தமிழகத்தின் கிராமப்புரங்களில் நடைபெறும் காளை மாட்டுவண்டிப் பந்தயம் ஆகும். தமிழ்நாட்டின் தென் மாவட்டங்களிலும், கொங்கு நாட்டிலும் இந்த வகைப் பந்தயங்கள் நடைபெறுகின்றன. மதுரை வட்டத்தில் அவனியாபுரம், தூத்துக்குடி மாவட்டத்தில் விளாத்திகுளம், ஒட்டப்பிடாரம், திருப்பூர் மாவட்டத்தில் உடுமலைப்பேட்டை, கோவை மாவட்டத்தில் பொள்ளாச்சி ஆகிய பகுதிகளிலும் இதுபோன்ற ரேக்ளா வண்டிப் பந்தயங்கள் பரவலாக நடத்தப்படுகின்றன. பெரும்பாலும் இவ்வகை போட்டிகளில் காளை மாடுகள் ஈடுபடுத்தப்படுகின்றன. நீலகிரி மாவட்டப் பகுதிகளில் எருமைக் கடாவையும் பந்தயங்களில் ஈடுபடுத்துகின்றனர்.இந்த பாரம்பரியம் மிக்க பந்தயத்தை வெற்றிகரமாக மூன்றாமாண்டு நமது KPR கல்லூரியில் காண வாருங்கள். KPR கல்வி நிறுவனங்கள், ரோட்டரி கோயம்புத்தூர் சென்ட்ரல் மற்றும் ரேக்ளா கிளப் இணைந்து நடத்தும் ""காளையர் திருவிழா 2022"" வரும் மார்ச் 27 அன்று நடைபெறவுள்ளது. சிவகங்கை, இராமநாதபுரம், ஈரோடு, கரூர், கோயம்புத்தூர், மதுரை, தஞ்சாவூர், திண்டுக்கல், தேனி , திருச்சி ஆகிய மாவட்டங்களிலிருந்து உழவர்கள் தங்கள் ரேக்ளா வண்டிகளுடனும் காளைகளுடனும் பந்தயங்களில் கலந்து கொள்கின்றனர். இந்த திருவிழாவில் கலந்துகொண்டு சிறப்பிக்குமாறு அனைவரையும் அன்புடன் அழைக்கிறோம்!#kpriet #reklarace #coimbatore #culture#tamilnadu #kprinstitutions



…see more",41,41,7 reposts,https://dms.licdn.com/playlist/C5605AQHan81s__VL3A/mp4-640p-30fp-crf28/0/1648136201088?e=1666504800&v=beta&t=4VPt5J16JVRTHG9F2RAjbdQs-h3qdu3M6vGy5hvuXGc
1 month ago,"Other: Poll, Shared Post, etc","Smart India Hackathon (SIH) is a nationwide initiative by the Ministry of Education’s Innovation Cell to provide students a platform to solve the pressing problems of the government, ministries, departments, industries and other organizations. SIH has been acclaimed as the world’s biggest open innovation model and it inculcates the culture of product innovation and problem-solving among students. SIH is conducted every year since 2017 in two formats i.e. SIH Software and SIH Hardware Editions for higher education students.Smart India Hackathon 2022 software grand finale is scheduled from 25th august to 26th August 2022 @ KPRIET. 22 teams from all across the nation is participating in the finale at our campus.We cordially invite you all for the Grand Finale of  Smart India Hackathon 2022.#innovation #india #education #software #culture #students #highereducation #hardware #PM_ModiAtSIH #SIH2022 #InnovationSeAtmanirbharBharat MoE's Innovation Cell



…see more",35,35,4 reposts,None
9 months ago,"Other: Poll, Shared Post, etc",Internal Quality Assurance Cell (IQAC) meetings at KPR Institute of Engineering and Technology Coimbatore,29,29,N/A,None
9 months ago,"Other: Poll, Shared Post, etc",#kpriet #civilengineering #kprcivil#igs#student chapter#appreciation,5,5,N/A,None
2 months ago,"Other: Poll, Shared Post, etc","At the annual L&T Academic Leadership Summit’22 held on 12 May, 2022, L&T EduTech recognised and celebrated the great work done by our institute.KPR Institute of Engineering and Technology (KPRIET) received the L&T EduTech Excellence Recognition: Best Engaged Engineering College for working hand-in-hand with L&T EduTech in empowering our faculty and helping the students make full utilisation of the courses.#LNT #course #BestEngineeringCollege #kpriet #industry #Academic #experience #leadership #work #technology #students #engineering https://lnkd.in/gmRkrb_F



…see more",81,81,3 reposts,None
9 months ago,"Other: Poll, Shared Post, etc",#congratulations Shwetha Kamarajan,15,15,1 comment,None
9 months ago,"Other: Poll, Shared Post, etc","Congratulations Amrit Kumar Thakur !We wish you many more laurels !#congratulations #publications #research #mechanicalengineering #kpriet 



…see more",12,12,N/A,None
9 months ago,"Other: Poll, Shared Post, etc","XGRAD 2022 - Higher Education Summit#highereducation #artificaialintelligence#datascience #hybridlearning #educationsummit #summit #kpriet



…see more",1,1,N/A,None
1 year ago,Video,"Our vision towards the future! e-Vehicle developed by our Mechanical Engineering students in Thanthi TV. #news#electricalvehicles #mechanicalengineering #future #students #kpriet #technology #engineering #innovation 



…see more",27,27,3 reposts,https://dms.licdn.com/playlist/C5605AQG5wnRTQWEopw/mp4-640p-30fp-crf28/0/1634659928782?e=1666504800&v=beta&t=H0vzNQNiMOp2l4v75VeGfxo1Osa1crl1UOFAa0aqtyU
9 months ago,"Other: Poll, Shared Post, etc","Congratulations on your incredible success!Wish you many more achievements!Rajeshkumar Lakshmi Narasimhan #congratulations #Research #success #milestone 



…see more",25,25,3 comments,None
9 months ago,Youtube Video,"Today's Headlines | KPRIET News | 05.02.2022https://lnkd.in/gK8fHTFe#election #vaccination #tamilnadu #headlines #news #happenings #kpriet #today



…see more",7,7,N/A,https://youtu.be/oaD-KYiVwRQ
9 months ago,Youtube Video,"Here are the some incredible visuals of 73rd Republic Day Ceremony held at KPR Institute of Engineering and Technology on January 26, 2022.https://lnkd.in/gxGHatFV#republicday #parade#india#kpriet #technology #engineering



…see more",5,5,2 reposts,https://youtu.be/CF-SZQB0peA
9 months ago,Youtube Video,"On the 26th of January 2022, Anna University celebrated the 73rd Republic Day in style in front of the spectacular red building on the CEG campus. After unfurling the tricolour flag, esteemed Vice Chancellor Dr. R. Velraj delivered a remarkable speech. Here is our honorable Vice Chancellor's Republic Day Addresshttps://lnkd.in/ga5sr4kv#university #building #annauniversity #republicday2022 #vicechancellor #tamilnadu #kpriet #engineering #technology



…see more",7,7,N/A,https://youtu.be/RzpL-mxpZbk
9 months ago,Youtube Video,"Today's Headlines | KPRIET News | 03.02.2022https://lnkd.in/gXBQxXXU#headlines #news#tamilnadu#india#currentaffairs #education#election #research



…see more",18,18,N/A,https://youtu.be/OE6UNW-vThU
9 months ago,Youtube Video,"A throwback! The year 2021 was a wonderful year for all KPRIETians. As we welcome 2022 with joy and high hopes in our minds, it is also important to have a look back at this turbulent year that was full of ups and downs but somehow, we as a KPRIETian, had many things to celebrate. Here’s a look back to what we as a KPRIETian witnessed in 2021. #throwback #achivements #kpriethttps://lnkd.in/gs6_k7e7 



…see more",12,12,4 reposts,https://youtu.be/bIs2fKbHbwg
3 months ago,"Other: Poll, Shared Post, etc","The National Institutional Ranking Framework (NIRF) outlines a methodology to rank institutions across the country in different categories. The ranking parameters broadly cover “Teaching, Learning and Resources,” “Research and Professional Practices,” “Graduation Outcomes,” “Outreach and Inclusivity,” and “Perception”. Today the NIRF Rankings for the year 2022 was released by the honorable Minister for Education, Shri. Dharmendra Pradhan.We are happy to announce that KPRIET has positioned itself in the 201-250 rank band in the “Engineering” category. We are one of the youngest engineering institutions to be encapsulated in the ranking band. Our sincere gratitude to all our students, staff, faculty members and stakeholders for your continuous support.#education #learning #engineering #research #students #gratitude #teaching #nirf #india #kpriet #coimbatore #education #students



…see more",213,213,32 reposts,None
7 months ago,Article,"Dr. K.P. Ramasamy’s Journey from a Farm to Becoming a Supplier for Global Brands.He is an Indian businessman and chairman of the KPR Mills Limited Company and KPR Institutions.A farmer's son who could study only till high school, set up one of India's largest knitwear garment export businesses which supplies to top global fashion brands like Marks & Spencer, H&M and Primark.The following is an excerpt from an article published in Business Today magazine.#business #businesstoday #kpr #kprgroup #kprinstitutions#kpriet #school #india #like #fashion #export https://lnkd.in/g865JrXP 



…see more",497,497,16 reposts,https://www.businesstoday.in/magazine/corporate/story/kp-ramasamys-journey-from-a-farm-to-becoming-a-supplier-for-global-brands-324731-2022-03-07
3 months ago,"Other: Poll, Shared Post, etc","Inauguration of Start-up and Keynote address by Dr. Meenalosini Vimal Cruz, Assistant Professor, Dept. of Information Technology, Georgia Southern University, USA at Ragam Hall, KPRIET on 11.07.2022, 02.30 PM.Organized by Department of Computer Science and Engineering#engineering #university #informationtechnology #computerscience #startup #coimbatore #india #technology



…see more",23,23,1 repost,None
1 year ago,Youtube Video,"Principal's address during the launching ceremony of L&T EduTech courses by L&T on 15th October, 2021. https://lnkd.in/g-YWQGdu #LnT#LnTEduTech#Launch#KPRIET#technologynews #innovation #engineering



…see more",35,35,3 reposts,https://youtu.be/K6k6pno0oZc
4 months ago,"Other: Poll, Shared Post, etc","Recruitment Alert:We are looking for a talented, dedicated professional.Recruitment for teaching and non-teaching positions.Job Role:Teaching Position (Assistant Professor, Associate Professor and Professor)Departments: AI & DS, CSE, CSE (AI & ML), CSBS, IT, Chemical, BME, ECE, EEE, Mechatronics, Chemistry, English, Maths (NET/SET/SLET/Ph.D.)Qualifications: As per AICTE normsJob Role:Student CounsellorQualifications: Any Postgraduate with good communication skills and proficient in MS Office are preferred.Job Role:ReceptionistCandidate with good English communication skills are preferred with any Undergraduate degree and 2 years experience in the relevant field.Job Role:Lab Technician | Lab Instructor Departments: CSE, Chemical, Civil, BME, ECE, EEE, Mechatronics, B.Sc./M.Sc. (Micro Biology or Bio Chemistry) / B. Tech. (Bio Medical) for BME* Mail your resume to career@kpriet.ac.in on or before June 30, 2022.Salary is not a constraint for deserving candidates.#job #career #recruitment #experience #ai #tech #communication #resume #ml #medical #teaching #civil #chemical #chemistry



…see more",44,44,6 reposts,None
4 months ago,"Other: Poll, Shared Post, etc","Team KPRIET led by Dr. M. Akila, Principal/ KPRIET met, Prof. Abdul Ghanj Olabi, Prof. Ramesh Bansal, Nirav Patel, Post Doctoral Researcher, Mena Maurice, Graduate Research Assistant and discussed about enhancing research and teaching activity mutually between and by University of Sarjah and KPR Institute of Engineering and Technology.Possibilities on student internship is also discussed.#team #technology #ai #engineering #ml #energy #research #sustainable #university #power #science #renewableenergy #solar #batteries #aviation #cloudcomputing #teaching #electrical #internships #kpriet #experience #UAE #India #UAEvisit #coimbatore



…see more",116,116,5 reposts,None
4 months ago,"Other: Poll, Shared Post, etc","Dr. M. Akila, Principal, KPRIET, has arrived at Dubai International Airport with Dr. Sanjeevikumar and Dr. M. A. Manikandan for the Alumni Meet UAE chapter, University Visits, and other collaborations, which will take place in Dubai, Abudhabi, and Sharjah from June 16 to June 20, 2022. At the airport, she was welcomed by Mr. Santhosh, Civil Engineering (Batch 2009-2013), President, UAE Alumni Chapter. #dubai #university #abudhabi #civilengineering #uae #alumni #kpriet #inauguration #experience



…see more",380,380,4 comments,None
5 months ago,"Other: Poll, Shared Post, etc","During the academic year 2021-2022, we were named the Best Industry-Engaged Engineering College by LnT EduTech's Industry-Institute Interaction InitiativesLarsen & Toubro (L&T) has announced the establishment of L&T EduTech, a virtual learning initiative targeted at bridging the gap between young engineers' competency and industry expectations. This is a technology-driven, industry-led, application-based, practical learning platform that spans the entire spectrum of engineering and technology sectors to assist develop industry-ready personnel.As an industry-driven institute, KPRIET participated in the L&T EduTech courses, which benefited over 2000 students. KPRIET students also took part in several LnT internships.The award for Best Industry-Engaged Engineering College is the most appropriate for us because we value industry linkage in all aspects, including industry-aligned curriculum, industry internships, industry projects, and so on.#students #technology #learning #engineering #projects #engineers #internships



…see more",61,61,5 reposts,None
6 months ago,"Other: Poll, Shared Post, etc","The Sustainable Development Goals (SDGs) adopted by all United Nations Member States in 2015, are an urgent call for action by all countries - developed and developing - in a global partnership. They recognize that ending poverty and other deprivations must go hand-in-hand with strategies that improve health and education, reduce inequality, and spur economic growth – all while tackling climate change and working to preserve our oceans and forests.The Times Higher Education (THE) Impact Rankings are the only global performance tables that assess universities against the United Nations’ Sustainable Development Goals (SDGs). The ranking uses carefully calibrated indicators to provide comprehensive and balanced comparison across four broad areas: research, stewardship, outreach and teaching.The 2022 Impact Rankings is the fourth edition and the overall ranking includes 1,406 universities from 106 countries/regions. The Impact Rankings include 18 tables – one for each of the 17 SDGs as well as one overall ranking. KPRIET is the only self-financed autonomous engineering institute in India to receive the ranking in the 601-800 band in THE Impact Ranking 2022. Our contribution is towards SDG1 – No Poverty, SDG4 – Quality Education, SDG6 – Clean Water and Sanitation, SDG12 – Responsible Production and Consumption, SDG16 –Peace, Justice and Strong institutions , SDG17-Partnership towards the Goals.We thank all our stakeholders for their support.#THEimpactranking#timeshighereducation#kpriet #ranking#goals#sdg #sustainabledevelopment #highereducation #research #education #universities #teaching #engineering #climatechange #health #growth #water #india #quality



…see more",45,45,12 reposts,None
10 months ago,"Other: Poll, Shared Post, etc","We are extremely proud to announce that our FASO stall was set up at KPR IET, Coimbatore, and much delighted to have received an amazing response. We thank you so much for providing us with a great sales experience and looking forward to expanding our boundaries by setting up more FASO stalls in the near future.#FASO #KPR # KPRIET #Comfortable #LuxuryLifeStyle #LuxuryLife #Comfort #Luxury #OrganicCotton #Innerwear #Athleisure #Undergarments #Fashion #MenStyle #Men #MensFashion #InterCollegeTournament #KPRCollege #FASOTrialStore #TrialStore #FASOOutlets



…see more",1,1,N/A,None
5 months ago,"Other: Poll, Shared Post, etc","Applications are invited for ONE Project Fellow position under UGC-DAE CSR Project titled ""Development of Low-cost prototype device based on Graphene Quantum Dot composites for rapid online monitoring of Uranium (IV/VI) and Thorium (IV) in Acidic conditions""Contact:Dr. Daniel Thangadurai, Ph. D., Principal Investigator,UGC-DAE CSR Project, KPRIETdanielthangadurai.t@kpriet.ac.in +91 89400 15441Last date for submitting application: 25.05.2022#development #project #projectfellow#ugc#dae#csr #project #chemistry #physics



…see more",23,23,1 comment,None
7 months ago,"Other: Poll, Shared Post, etc","This is the ideal time to congratulate you everyone on your achievements. It's been a long and difficult path, but you've achieved your objectives and been placed in good firms. It's now time to congratulate yourself on your accomplishment. It's everything out there: new locations to visit, new things to try, and new people to meet! Put your future in your own capable hands.Placement day 2022 is planned on 26.03.2022 (Saturday) at 10.30 am. Venue: KPR KalaiarangamOur chief guest Mr. Goutham Premkumar, Lead-Campus Recruitment, INFOSYS will address the gathering.All are invited!



…see more",78,78,2 reposts,None
7 months ago,"Other: Poll, Shared Post, etc","This is the ideal time to congratulate you everyone on your achievements. It's been a long and difficult path, but you've achieved your objectives and been placed in good firms. It's now time to congratulate yourself on your accomplishment. It's everything out there: new locations to visit, new things to try, and new people to meet! Put your future in your own capable hands.Placement day 2022 is planned on 26.03.2022 (Saturday) at 10.30 am. Venue: KPR KalaiarangamOur chief guest Mr. Goutham Premkumar, Lead-Campus Recruitment, INFOSYS will address the gathering.All are invited!#future #recruitment #people #placement #placementday #kpriet #coimbatore #india #tamilnadu



…see more",55,55,6 reposts,None
7 months ago,"Other: Poll, Shared Post, etc","The DataQuest T-School Survey, which focuses on how T-Schools contribute to critical skills for the technology industry, is an industry-recognized benchmark on technical education. It provides cues for the industry and other ecosystem players. The key parameters for evaluation were Placement, Academics, Campus Infrastructure and Engagement with Industry Eco-system.KPRIET has been ranked among the top T-Schools in India, in the 17th edition of DataQuest-CMR survey, which ranks the country’s top 100 engineering colleges. KPRIET stands 7th in Tamil Nadu, 11th in the South Zone and 24th in the country. We thank all the stakeholders for their continuous support.#education #technology #engineering #school #engagement #india #schools #infrastructure



…see more",38,38,9 reposts,None
8 months ago,"Other: Poll, Shared Post, etc","Hearty Congratulations to all the students for getting placed as Software Developer at Maventic!Best wishes for successful career#Congratulations #placement #career #software #developer #dreamjob #kpriet #students #softwaredeveloper



…see more",109,109,2 reposts,None
9 months ago,"Other: Poll, Shared Post, etc","Hearty Congratulations Mr. K. Ramkumar, II - B. Tech. Chemical Engineering for winning first place in Chemathon IRADA 2022 National Level Tech Fest organised by The Innovator Club, LD College of Engineering, Ahmedabad #chemicalengineering #engineering #tech #ahmedabad #chemistry #kpriet #technology 



…see more",29,29,3 comments,None
